"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.8772",2026-09-02
"Nevada","Mid","$5.1835",2026-09-02
"Nevada","Premium","$5.4825",2026-09-02
"Nevada","Diesel","$5.9964",2026-09-02
"Reno","Regular","$5.1519",2026-09-02
"Reno","Mid","$5.3227",2026-09-02
"Reno","Premium","$5.5637",2026-09-02
"Reno","Diesel","$6.1753",2026-09-02
"Las Vegas","Regular","$4.8710",2026-09-02
"Las Vegas","Mid","$5.2270",2026-09-02
"Las Vegas","Premium","$5.5356",2026-09-02
"Las Vegas","Diesel","$6.0096",2026-09-02
