"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$5.0930",2026-06-04
"Nevada","Mid","$5.4300",2026-06-04
"Nevada","Premium","$5.7050",2026-06-04
"Nevada","Diesel","$5.9790",2026-06-04
"Reno","Regular","$5.3490",2026-06-04
"Reno","Mid","$5.5450",2026-06-04
"Reno","Premium","$5.7520",2026-06-04
"Reno","Diesel","$6.2250",2026-06-04
"Las Vegas","Regular","$5.1000",2026-06-04
"Las Vegas","Mid","$5.4920",2026-06-04
"Las Vegas","Premium","$5.7830",2026-06-04
"Las Vegas","Diesel","$5.9910",2026-06-04
