id,Gas_Type,Price,Scrape_Date
Nevada,Regular,$4.94,2026-03-27
Nevada,Mid,$5.26,2026-03-27
Nevada,Premium,$5.55,2026-03-27
Nevada,Diesel,$6.25,2026-03-27
Reno,Regular,$5.17,2026-03-27
Reno,Mid,$5.35,2026-03-27
Reno,Premium,$5.60,2026-03-27
Reno,Diesel,$6.32,2026-03-27
Las Vegas,Regular,$4.99,2026-03-27
Las Vegas,Mid,$5.35,2026-03-27
Las Vegas,Premium,$5.65,2026-03-27
Las Vegas,Diesel,$6.34,2026-03-27
