"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$5.0110",2026-06-09
"Nevada","Mid","$5.3360",2026-06-09
"Nevada","Premium","$5.6260",2026-06-09
"Nevada","Diesel","$5.9270",2026-06-09
"Reno","Regular","$5.2560",2026-06-09
"Reno","Mid","$5.4380",2026-06-09
"Reno","Premium","$5.6640",2026-06-09
"Reno","Diesel","$6.1530",2026-06-09
"Las Vegas","Regular","$5.0140",2026-06-09
"Las Vegas","Mid","$5.4010",2026-06-09
"Las Vegas","Premium","$5.6990",2026-06-09
"Las Vegas","Diesel","$5.9530",2026-06-09
