"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.9744",2026-09-07
"Nevada","Mid","$5.2368",2026-09-07
"Nevada","Premium","$5.5656",2026-09-07
"Nevada","Diesel","$6.2695",2026-09-07
"Reno","Regular","$5.2518",2026-09-07
"Reno","Mid","$5.3839",2026-09-07
"Reno","Premium","$5.6289",2026-09-07
"Reno","Diesel","$6.4405",2026-09-07
"Las Vegas","Regular","$4.9613",2026-09-07
"Las Vegas","Mid","$5.2866",2026-09-07
"Las Vegas","Premium","$5.6245",2026-09-07
"Las Vegas","Diesel","$6.2720",2026-09-07
