id,Gas_Type,Price,Scrape_Date
Nevada,Regular,$4.90,2026-03-29
Nevada,Mid,$5.21,2026-03-29
Nevada,Premium,$5.51,2026-03-29
Nevada,Diesel,$6.07,2026-03-29
Reno,Regular,$5.13,2026-03-29
Reno,Mid,$5.37,2026-03-29
Reno,Premium,$5.57,2026-03-29
Reno,Diesel,$6.01,2026-03-29
Las Vegas,Regular,$4.95,2026-03-29
Las Vegas,Mid,$5.30,2026-03-29
Las Vegas,Premium,$5.61,2026-03-29
Las Vegas,Diesel,$6.16,2026-03-29
