"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.9340",2026-06-13
"Nevada","Mid","$5.2500",2026-06-13
"Nevada","Premium","$5.5380",2026-06-13
"Nevada","Diesel","$5.7910",2026-06-13
"Reno","Regular","$5.1500",2026-06-13
"Reno","Mid","$5.3250",2026-06-13
"Reno","Premium","$5.5800",2026-06-13
"Reno","Diesel","$6.0390",2026-06-13
"Las Vegas","Regular","$4.9410",2026-06-13
"Las Vegas","Mid","$5.3140",2026-06-13
"Las Vegas","Premium","$5.6080",2026-06-13
"Las Vegas","Diesel","$5.8040",2026-06-13
