id,Gas_Type,Price,Scrape_Date
Nevada,Regular,$4.9400,4/1/2026
Nevada,Mid,$5.2460,4/1/2026
Nevada,Premium,$5.5430,4/1/2026
Nevada,Diesel,$6.2220,4/1/2026
Reno,Regular,$5.1630,4/1/2026
Reno,Mid,$5.3500,4/1/2026
Reno,Premium,$5.5960,4/1/2026
Reno,Diesel,$6.2800,4/1/2026
Las Vegas,Regular,$4.9870,4/1/2026
Las Vegas,Mid,$5.3340,4/1/2026
Las Vegas,Premium,$5.6510,4/1/2026
Las Vegas,Diesel,$6.3000,4/1/2026
