"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.9860",2026-06-10
"Nevada","Mid","$5.3090",2026-06-10
"Nevada","Premium","$5.6070",2026-06-10
"Nevada","Diesel","$5.8860",2026-06-10
"Reno","Regular","$5.2240",2026-06-10
"Reno","Mid","$5.3980",2026-06-10
"Reno","Premium","$5.6210",2026-06-10
"Reno","Diesel","$6.1430",2026-06-10
"Las Vegas","Regular","$4.9840",2026-06-10
"Las Vegas","Mid","$5.3750",2026-06-10
"Las Vegas","Premium","$5.6840",2026-06-10
"Las Vegas","Diesel","$5.9040",2026-06-10
