"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.6240",2026-06-30
"Nevada","Mid","$4.9440",2026-06-30
"Nevada","Premium","$5.2320",2026-06-30
"Nevada","Diesel","$5.3380",2026-06-30
"Reno","Regular","$4.8810",2026-06-30
"Reno","Mid","$5.0830",2026-06-30
"Reno","Premium","$5.3160",2026-06-30
"Reno","Diesel","$5.6830",2026-06-30
"Las Vegas","Regular","$4.6210",2026-06-30
"Las Vegas","Mid","$4.9990",2026-06-30
"Las Vegas","Premium","$5.2890",2026-06-30
"Las Vegas","Diesel","$5.3580",2026-06-30
